VariableCode,RegionCode,YearCode,AggValue
pop,BLZ,2016,0.36840000000000000
rgdpo,BLZ,2017,2329.44628906250000000
pop,BLZ,2017,0.37576900000000000
rgdpo,BLZ,2018,2219.21630859375000000
pop,BLZ,2018,0.38307100000000000
rgdpo,BLZ,2019,2186.92163085938000000
pop,BLZ,2019,0.39035300000000000
rgdpo,COG,1990,7121.52832031250000000
pop,COG,1990,2.35673700000000000
rgdpo,COG,1991,7981.37402343750000000
pop,COG,1991,2.42230500000000000
rgdpo,COG,1992,5824.87548828125000000
pop,COG,1992,2.48995200000000000
rgdpo,COG,1993,6164.29687500000000000
pop,COG,1993,2.55987300000000000
rgdpo,COG,1994,5875.57763671875000000
pop,COG,1994,2.63234500000000000
rgdpo,COG,1995,5681.29101562500000000
pop,COG,1995,2.70753700000000000
rgdpo,COG,1996,6458.86621093750000000
pop,COG,1996,2.78581000000000000
rgdpo,COG,1997,6169.09326171875000000
pop,COG,1997,2.86728000000000000
rgdpo,COG,1998,4913.14306640625000000
pop,COG,1998,2.95164700000000000
rgdpo,COG,1999,6340.42578125000000000
pop,COG,1999,3.03843300000000000
rgdpo,COG,2000,9096.72070312500000000
pop,COG,2000,3.12741100000000000
rgdpo,COG,2001,8735.87304687500000000
pop,COG,2001,3.21793300000000000
rgdpo,COG,2002,8702.92871093750000000
pop,COG,2002,3.31038700000000000
rgdpo,COG,2003,9113.19921875000000000
pop,COG,2003,3.40692200000000000
rgdpo,COG,2004,10983.96679687500000000
pop,COG,2004,3.51046800000000000
rgdpo,COG,2005,15553.91601562500000000
pop,COG,2005,3.62277500000000000
rgdpo,COG,2006,17263.10742187500000000
pop,COG,2006,3.74514100000000000
rgdpo,COG,2007,14069.73046875000000000
pop,COG,2007,3.87611900000000000
rgdpo,COG,2008,19736.73437500000000000
pop,COG,2008,4.01148600000000000
rgdpo,COG,2009,15601.18164062500000000
pop,COG,2009,4.14539100000000000
rgdpo,COG,2010,24714.21093750000000000
pop,COG,2010,4.27373100000000000
rgdpo,COG,2011,30923.87890625000000000
pop,COG,2011,4.39484400000000000
rgdpo,COG,2012,33997.10937500000000000
pop,COG,2012,4.51019900000000000
rgdpo,COG,2013,32287.16015625000000000
pop,COG,2013,4.62276200000000000
rgdpo,IRL,1990,66850.16406250000000000
pop,IRL,1990,3.51088500000000000
rgdpo,IRL,1991,67969.07812500000000000
pop,IRL,1991,3.51771000000000000
rgdpo,IRL,1992,72634.88281250000000000
pop,IRL,1992,3.52985300000000000
rgdpo,IRL,1993,77008.67187500000000000
pop,IRL,1993,3.54693100000000000
rgdpo,IRL,1994,80825.24218750000000000
pop,IRL,1994,3.56791200000000000
rgdpo,IRL,1995,92206.91406250000000000
pop,IRL,1995,3.59218600000000000
